"","mouse","human"
"13588","Rp9","RP9"
"13589","Rpa1","RPA1"
"13590","Rpa2","RPA2"
"13591","Rpa3","RPA3"
"13592","Rpain","RPAIN"
"13593","Rpap1","RPAP1"
"13594","Rpap2","RPAP2"
"13595","Rpap3","RPAP3"
"13596","Rpe","RPE"
"13597","Rpe65","RPE65"
"13598","Rpf1","RPF1"
"13599","Rpf2","RPF2"
"13600","Rpgr","RPGR"
"13601","Rpgrip1","RPGRIP1"
"13602","Rpgrip1l","RPGRIP1L"
"13603","Rph3a","RPH3A"
"13604","Rph3al","RPH3AL"
"13605","Rpia","RPIA"
"13606","Rpl10","RPL10"
"13607","Rpl10a","RPL10A"
"13608","Rpl10l","RPL10L"
"13609","Rpl11","RPL11"
"13610","Rpl12","RPL12"
"13611","Rpl13","RPL13"
"13612","Rpl13a","RPL13A"
"13613","Rpl14","RPL14"
"13614","Rpl15","RPL15"
"13615","Rpl17","RPL17"
"13616","Gm10362","RPL17-C18orf32"
"13617","Rpl18","RPL18"
"13618","Rpl18a","RPL18A"
"13619","Rpl19","RPL19"
"13620","Rpl21","RPL21"
"13621","Rpl22","RPL22"
"13622","Rpl22l1","RPL22L1"
"13623","Rpl23","RPL23"
"13624","Rpl23a","RPL23A"
"13625","Rpl24","RPL24"
"13626","Rpl26","RPL26"
"13627","Rpl27","RPL27"
"13628","Rpl27a","RPL27A"
"13629","Rpl28","RPL28"
"13630","Rpl29","RPL29"
"13631","Rpl3","RPL3"
"13632","Rpl30","RPL30"
"13633","Rpl31","RPL31"
"13634","Rpl32","RPL32"
"13635","Rpl34","RPL34"
"13636","Rpl35","RPL35"
"13637","Rpl35a","RPL35A"
"13638","Rpl36","RPL36"
"13639","Rpl36a","RPL36A"
"13640","Rpl36al","RPL36AL"
"13641","Rpl37","RPL37"
"13642","Rpl37a","RPL37A"
"13643","Rpl38","RPL38"
"13644","Rpl39","RPL39"
"13645","Rpl3l","RPL3L"
"13646","Rpl4","RPL4"
"13647","Rpl5","RPL5"
"13648","Rpl6","RPL6"
"13649","Rpl7","RPL7"
"13650","Rpl7a","RPL7A"
"13651","Rpl7l1","RPL7L1"
"13652","Rpl8","RPL8"
"13653","Rpl9","RPL9"
"13654","Rplp0","RPLP0"
"13655","Rplp1","RPLP1"
"13656","Rplp2","RPLP2"
"13657","Rpn1","RPN1"
"13658","Rpn2","RPN2"
"13659","Rpp14","RPP14"
"13660","Rpp21","RPP21"
"13661","Rpp25","RPP25"
"13662","Rpp25l","RPP25L"
"13663","Rpp30","RPP30"
"13664","Rpp38","RPP38"
"13665","Rpp40","RPP40"
"13666","Rpph1","RPPH1"
"13667","Rprd1a","RPRD1A"
"13668","Rprd1b","RPRD1B"
"13669","Rprd2","RPRD2"
"13670","Rprm","RPRM"
"13671","Rprml","RPRML"
"13672","Rps10","RPS10"
"13673","Rps11","RPS11"
"13674","Rps12","RPS12"
"13675","Rps13","RPS13"
"13676","Rps14","RPS14"
"13677","Rps15","RPS15"
"13678","Rps15a","RPS15A"
"13679","Rps16","RPS16"
"13680","Rps17","RPS17"
"13681","Rps18","RPS18"
"13682","Rps19","RPS19"
"13683","Rps19bp1","RPS19BP1"
"13684","Rps2","RPS2"
"13685","Rps20","RPS20"
"13686","Rps21","RPS21"
"13687","Rps23","RPS23"
"13688","Rps24","RPS24"
"13689","Rps25","RPS25"
"13690","Rps26","RPS26"
"13691","Rps27","RPS27"
"13692","Rps27a","RPS27A"
"13693","Rps27l","RPS27L"
"13694","Rps28","RPS28"
"13695","Rps29","RPS29"
"13696","Rps3","RPS3"
"13697","Rps3a1","RPS3A"
"13698","Rps4x","RPS4X"
"13699","Rps4x","RPS4Y1"
"13700","Rps5","RPS5"
"13701","Rps6","RPS6"
"13702","Rps6ka1","RPS6KA1"
"13703","Rps6ka2","RPS6KA2"
"13704","Rps6ka3","RPS6KA3"
"13705","Rps6ka4","RPS6KA4"
"13706","Rps6ka5","RPS6KA5"
"13707","Rps6ka6","RPS6KA6"
"13708","Rps6kb1","RPS6KB1"
"13709","Rps6kb2","RPS6KB2"
"13710","Rps6kc1","RPS6KC1"
"13711","Rps6kl1","RPS6KL1"
"13712","Rps7","RPS7"
"13713","Rps8","RPS8"
"13714","Rps9","RPS9"
"13715","Rpsa","RPSA"
"13716","Rptn","RPTN"
"13717","Rptor","RPTOR"
"13718","Rpusd1","RPUSD1"
"13719","Rpusd2","RPUSD2"
"13720","Rpusd3","RPUSD3"
"13721","Rpusd4","RPUSD4"
"13722","Rrad","RRAD"
"13723","Rraga","RRAGA"
"13724","Rragb","RRAGB"
"13725","Rragc","RRAGC"
"13726","Rragd","RRAGD"
"13727","Rras","RRAS"
"13728","Rras2","RRAS2"
"13729","Rrbp1","RRBP1"
"13730","Rreb1","RREB1"
"13731","Rrh","RRH"
"13732","Rrm1","RRM1"
"13733","Rrm2","RRM2"
"13734","Rrm2b","RRM2B"
"13735","Rrn3","RRN3"
"13736","Rrnad1","RRNAD1"
"13737","Rrp1","RRP1"
"13738","Rrp12","RRP12"
"13739","Rrp15","RRP15"
"13740","Rrp1b","RRP1B"
"13741","Rrp36","RRP36"
"13742","Rrp7a","RRP7A"
"13743","Rrp8","RRP8"
"13744","Rrp9","RRP9"
"13745","Rrs1","RRS1"
"13746","Rs1","RS1"
"13747","Rsad1","RSAD1"
"13748","Rsad2","RSAD2"
"13749","Rsbn1","RSBN1"
"13750","Rsbn1l","RSBN1L"
"13751","Rsc1a1","RSC1A1"
"13752","Rsf1","RSF1"
"13753","Rsl1d1","RSL1D1"
"13754","Rsl24d1","RSL24D1"
"13755","Rsph1","RSPH1"
"13756","Rsph10b","RSPH10B"
"13757","Rsph10b","RSPH10B2"
"13758","Rsph14","RSPH14"
"13759","Rsph3a","RSPH3"
"13760","Rsph4a","RSPH4A"
"13761","Rsph6a","RSPH6A"
"13762","Rsph9","RSPH9"
"13763","Rspo1","RSPO1"
"13764","Rspo2","RSPO2"
"13765","Rspo3","RSPO3"
"13766","Rspo4","RSPO4"
"13767","Rspry1","RSPRY1"
"13768","Rsrc1","RSRC1"
"13769","Rsrc2","RSRC2"
"13770","Rsrp1","RSRP1"
"13771","Rsu1","RSU1"
"13772","Rtbdn","RTBDN"
"13773","Rtca","RTCA"
"13774","Rtcb","RTCB"
"13775","Rtel1","RTEL1"
"13776","Rtf1","RTF1"
"13777","Rtf2","RTF2"
"13778","Rtkn","RTKN"
"13779","Rtkn2","RTKN2"
"13780","Rtl1","RTL1"
"13781","Rtl10","RTL10"
"13782","Rtl3","RTL3"
"13783","Rtl4","RTL4"
"13784","Rtl5","RTL5"
"13785","Rtl6","RTL6"
"13786","Rtl8a","RTL8A"
"13787","Rtl8b","RTL8A"
"13788","Rtl8c","RTL8A"
"13789","Rtl8a","RTL8B"
"13790","Rtl8b","RTL8B"
"13791","Rtl8c","RTL8B"
"13792","Rtl8a","RTL8C"
"13793","Rtl8b","RTL8C"
"13794","Rtl8c","RTL8C"
"13795","Rtl9","RTL9"
"13796","Rtn1","RTN1"
"13797","Rtn2","RTN2"
"13798","Rtn3","RTN3"
"13799","Rtn4","RTN4"
"13800","Rtn4ip1","RTN4IP1"
"13801","Rtn4r","RTN4R"
"13802","Rtn4rl1","RTN4RL1"
"13803","Rtn4rl2","RTN4RL2"
"13804","Rtp1","RTP1"
"13805","Rtp2","RTP2"
"13806","Rtp3","RTP3"
"13807","Rtp4","RTP4"
"13808","Rtraf","RTRAF"
"13809","Rttn","RTTN"
"13810","Rubcn","RUBCN"
"13811","Rubcnl","RUBCNL"
"13812","Rufy1","RUFY1"
"13813","Rufy2","RUFY2"
"13814","Rufy3","RUFY3"
"13815","Rufy4","RUFY4"
"13816","Rundc1","RUNDC1"
"13817","Rundc3a","RUNDC3A"
"13818","Rundc3b","RUNDC3B"
"13819","Runx1","RUNX1"
"13820","Runx1t1","RUNX1T1"
"13821","Runx2","RUNX2"
"13822","Runx3","RUNX3"
"13823","Rusc1","RUSC1"
"13824","Rusc2","RUSC2"
"13825","Ruvbl1","RUVBL1"
"13826","Ruvbl2","RUVBL2"
"13827","Rwdd1","RWDD1"
"13828","Rwdd2a","RWDD2A"
"13829","Rwdd2b","RWDD2B"
"13830","Rwdd3","RWDD3"
"13831","Rwdd4a","RWDD4"
"13832","Rxfp1","RXFP1"
"13833","Rxfp2","RXFP2"
"13834","Rxfp3","RXFP3"
"13835","Rxfp4","RXFP4"
"13836","Rxra","RXRA"
"13837","Rxrb","RXRB"
"13838","Rxrg","RXRG"
"13839","Tmem5","RXYLT1"
"13840","Rybp","RYBP"
"13841","Ryk","RYK"
"13842","Ryr1","RYR1"
"13843","Ryr2","RYR2"
"13844","Ryr3","RYR3"
"13845","S100a1","S100A1"
"13846","S100a10","S100A10"
"13847","S100a11","S100A11"
"13848","S100a13","S100A13"
"13849","S100a14","S100A14"
"13850","S100a16","S100A16"
"13851","S100a3","S100A3"
"13852","S100a4","S100A4"
"13853","S100a5","S100A5"
"13854","S100a6","S100A6"
"13855","S100a8","S100A8"
"13856","S100a9","S100A9"
"13857","S100b","S100B"
"13858","S100g","S100G"
"13859","S100pbp","S100PBP"
"13860","S100z","S100Z"
"13861","S1pr1","S1PR1"
"13862","S1pr2","S1PR2"
"13863","S1pr3","S1PR3"
"13864","S1pr4","S1PR4"
"13865","S1pr5","S1PR5"
"13866","Saa1","SAA1"
"13867","Saa2","SAA1"
"13868","Saa4","SAA2-SAA4"
"13869","Saa3","SAA3P"
"13870","Saal1","SAAL1"
"13871","Sac3d1","SAC3D1"
"13872","Sacm1l","SACM1L"
"13873","Sacs","SACS"
"13874","Sae1","SAE1"
"13875","Safb","SAFB"
"13876","Safb2","SAFB2"
"13877","Sag","SAG"
"13878","Sall1","SALL1"
"13879","Sall2","SALL2"
"13880","Sall3","SALL3"
"13881","Sall4","SALL4"
"13882","Samd1","SAMD1"
"13883","Samd10","SAMD10"
"13884","Samd11","SAMD11"
"13885","Samd12","SAMD12"
"13886","Samd13","SAMD13"
"13887","Samd14","SAMD14"
"13888","Samd15","SAMD15"
"13889","Samd3","SAMD3"
"13890","Samd4","SAMD4A"
"13891","Samd4b","SAMD4B"
"13892","Samd5","SAMD5"
"13893","Samd7","SAMD7"
"13894","Samd8","SAMD8"
"13895","Samd9l","SAMD9L"
"13896","Samhd1","SAMHD1"
"13897","Samm50","SAMM50"
"13898","Samsn1","SAMSN1"
"13899","Sap130","SAP130"
"13900","Sap18","SAP18"
"13901","Sap25","SAP25"
"13902","Sap30","SAP30"
"13903","Sap30bp","SAP30BP"
"13904","Sap30l","SAP30L"
"13905","Sapcd1","SAPCD1"
"13906","Sapcd2","SAPCD2"
"13907","Sar1a","SAR1A"
"13908","Sar1b","SAR1B"
"13909","Saraf","SARAF"
"13910","Sardh","SARDH"
"13911","Sarm1","SARM1"
"13912","Sarnp","SARNP"
"13913","Sars","SARS"
"13914","Sars2","SARS2"
"13915","Sart1","SART1"
"13916","Sart3","SART3"
"13917","Sash1","SASH1"
"13918","Sash3","SASH3"
"13919","Sass6","SASS6"
"13920","Sat1","SAT1"
"13921","Sat2","SAT2"
"13922","Satb1","SATB1"
"13923","Satb2","SATB2"
"13924","Satl1","SATL1"
"13925","Sav1","SAV1"
"13926","Saxo1","SAXO1"
"13927","Saxo2","SAXO2"
"13928","Saysd1","SAYSD1"
"13929","Sbds","SBDS"
"13930","Sbf1","SBF1"
"13931","Sbf2","SBF2"
"13932","Sbk1","SBK1"
"13933","Sbk2","SBK2"
"13934","Sbk3","SBK3"
"13935","Sbno1","SBNO1"
"13936","Sbno2","SBNO2"
"13937","Sbsn","SBSN"
"13938","Sbspon","SBSPON"
"13939","Sc5d","SC5D"
"13940","Scaf1","SCAF1"
"13941","Scaf11","SCAF11"
"13942","Scaf4","SCAF4"
"13943","Scaf8","SCAF8"
"13944","Scai","SCAI"
"13945","Scamp1","SCAMP1"
"13946","Scamp2","SCAMP2"
"13947","Scamp3","SCAMP3"
"13948","Scamp4","SCAMP4"
"13949","Scamp5","SCAMP5"
"13950","Scand1","SCAND1"
"13951","Scap","SCAP"
"13952","Scaper","SCAPER"
"13953","Scara3","SCARA3"
"13954","Scara5","SCARA5"
"13955","Scarb1","SCARB1"
"13956","Scarb2","SCARB2"
"13957","Scarf1","SCARF1"
"13958","Scarf2","SCARF2"
"13959","Cd163l1","SCART1"
"13960","Sccpdh","SCCPDH"
"13961","Scd1","SCD"
"13962","Scd2","SCD"
"13963","Scd3","SCD"
"13964","Scd4","SCD"
"13965","Scel","SCEL"
"13966","Scfd1","SCFD1"
"13967","Scfd2","SCFD2"
"13968","Scg2","SCG2"
"13969","Scg3","SCG3"
"13970","Scg5","SCG5"
"13971","Scgb1a1","SCGB1A1"
"13972","Scgb1c1","SCGB1C1"
"13973","Scgb2a2","SCGB2A1"
"13974","Scgb2a2","SCGB2A2"
"13975","Scgb3a1","SCGB3A1"
"13976","Scgb3a2","SCGB3A2"
"13977","Scgn","SCGN"
"13978","Schip1","SCHIP1"
"13979","Scimp","SCIMP"
"13980","Scin","SCIN"
"13981","Sclt1","SCLT1"
"13982","Scly","SCLY"
"13983","Scmh1","SCMH1"
"13984","Scml2","SCML2"
"13985","Scml4","SCML4"
"13986","Scn10a","SCN10A"
"13987","Scn11a","SCN11A"
"13988","Scn1a","SCN1A"
"13989","Scn1b","SCN1B"
"13990","Scn2a","SCN2A"
"13991","Scn2b","SCN2B"
"13992","Scn3a","SCN3A"
"13993","Scn3b","SCN3B"
"13994","Scn4a","SCN4A"
"13995","Scn4b","SCN4B"
"13996","Scn5a","SCN5A"
"13997","Scn7a","SCN7A"
"13998","Scn8a","SCN8A"
"13999","Scn9a","SCN9A"
"14000","Scnm1","SCNM1"
"14001","Scnn1a","SCNN1A"
"14002","Scnn1b","SCNN1B"
"14003","Scnn1g","SCNN1G"
"14004","Sco1","SCO1"
"14005","Sco2","SCO2"
"14006","Scoc","SCOC"
"14007","Scp2","SCP2"
"14008","Scp2d1","SCP2D1"
"14009","Scpep1","SCPEP1"
"14010","Scrg1","SCRG1"
"14011","Scrib","SCRIB"
"14012","Scrn1","SCRN1"
"14013","Scrn2","SCRN2"
"14014","Scrn3","SCRN3"
"14015","Scrt1","SCRT1"
"14016","Scrt2","SCRT2"
"14017","Sct","SCT"
"14018","Sctr","SCTR"
"14019","Scube1","SCUBE1"
"14020","Scube2","SCUBE2"
"14021","Scube3","SCUBE3"
"14022","Scx","SCX"
"14023","Scyl1","SCYL1"
"14024","Scyl2","SCYL2"
"14025","Scyl3","SCYL3"
"14026","Sdad1","SDAD1"
"14027","Sdc1","SDC1"
"14028","Sdc2","SDC2"
"14029","Sdc3","SDC3"
"14030","Sdc4","SDC4"
"14031","Sdcbp","SDCBP"
"14032","Sdcbp2","SDCBP2"
"14033","Sdccag8","SDCCAG8"
"14034","Sde2","SDE2"
"14035","Sdf2","SDF2"
"14036","Sdf2l1","SDF2L1"
"14037","Sdf4","SDF4"
"14038","Sdha","SDHA"
"14039","Sdhaf1","SDHAF1"
"14040","Sdhaf2","SDHAF2"
"14041","Sdhaf3","SDHAF3"
"14042","Sdhaf4","SDHAF4"
"14043","Sdhb","SDHB"
"14044","Sdhc","SDHC"
"14045","Sdhd","SDHD"
"14046","Sdk1","SDK1"
"14047","Sdk2","SDK2"
"14048","Sdr16c5","SDR16C5"
"14049","Sdr16c6","SDR16C6P"
"14050","Sdr39u1","SDR39U1"
"14051","Sdr42e1","SDR42E1"
"14052","Sdr9c7","SDR9C7"
"14053","Sds","SDS"
"14054","Sdsl","SDSL"
"14055","Sebox","SEBOX"
"14056","Sec11a","SEC11A"
"14057","Sec11c","SEC11C"
"14058","Sec13","SEC13"
"14059","Sec14l1","SEC14L1"
"14060","Sec14l2","SEC14L2"
"14061","Sec14l3","SEC14L3"
"14062","Sec14l4","SEC14L4"
"14063","Sec14l5","SEC14L5"
"14064","Sec16a","SEC16A"
"14065","Sec16b","SEC16B"
"14066","Sec1","SEC1P"
"14067","Sec22a","SEC22A"
"14068","Sec22b","SEC22B"
"14069","Sec22c","SEC22C"
"14070","Sec23a","SEC23A"
"14071","Sec23b","SEC23B"
"14072","Sec23ip","SEC23IP"
"14073","Sec24a","SEC24A"
"14074","Sec24b","SEC24B"
"14075","Sec24c","SEC24C"
"14076","Sec24d","SEC24D"
"14077","Sec31a","SEC31A"
"14078","Sec31b","SEC31B"
"14079","Sec61a1","SEC61A1"
"14080","Sec61a2","SEC61A2"
"14081","Sec61b","SEC61B"
"14082","Sec61g","SEC61G"
"14083","Sec62","SEC62"
"14084","Sec63","SEC63"
"14085","Secisbp2","SECISBP2"
"14086","Secisbp2l","SECISBP2L"
"14087","Sectm1a","SECTM1"
"14088","Seh1l","SEH1L"
"14089","Sel1l","SEL1L"
"14090","Sel1l2","SEL1L2"
"14091","Sel1l3","SEL1L3"
"14092","Sele","SELE"
"14093","Selenbp1","SELENBP1"
"14094","Selenof","SELENOF"
"14095","Selenoh","SELENOH"
"14096","Selenoi","SELENOI"
"14097","Selenok","SELENOK"
"14098","Selenom","SELENOM"
"14099","Selenon","SELENON"
"14100","Selenoo","SELENOO"
"14101","Selenop","SELENOP"
"14102","Selenos","SELENOS"
"14103","Selenot","SELENOT"
"14104","Selenov","SELENOV"
"14105","Selenow","SELENOW"
"14106","Sell","SELL"
"14107","Selp","SELP"
"14108","Selplg","SELPLG"
"14109","Sem1","SEM1"
"14110","Sema3a","SEMA3A"
"14111","Sema3b","SEMA3B"
"14112","Sema3c","SEMA3C"
"14113","Sema3d","SEMA3D"
"14114","Sema3e","SEMA3E"
"14115","Sema3f","SEMA3F"
"14116","Sema3g","SEMA3G"
"14117","Sema4a","SEMA4A"
"14118","Sema4b","SEMA4B"
"14119","Sema4c","SEMA4C"
"14120","Sema4d","SEMA4D"
"14121","Sema4f","SEMA4F"
"14122","Sema4g","SEMA4G"
"14123","Sema5a","SEMA5A"
"14124","Sema5b","SEMA5B"
"14125","Sema6a","SEMA6A"
"14126","Sema6b","SEMA6B"
"14127","Sema6c","SEMA6C"
"14128","Sema6d","SEMA6D"
"14129","Sema7a","SEMA7A"
"14130","Senp1","SENP1"
"14131","Senp2","SENP2"
"14132","Senp3","SENP3"
"14133","Senp5","SENP5"
"14134","Senp6","SENP6"
"14135","Senp7","SENP7"
"14136","Senp8","SENP8"
"14137","Sephs1","SEPHS1"
"14138","Sephs2","SEPHS2"
"14139","Sepsecs","SEPSECS"
"14140","Sept1","SEPT1"
"14141","Sept10","SEPT10"
"14142","Sept11","SEPT11"
"14143","Sept12","SEPT12"
"14144","Sept14","SEPT14"
"14145","Sept2","SEPT2"
"14146","Sept3","SEPT3"
"14147","Sept4","SEPT4"
"14148","Sept5","SEPT5"
"14149","Sept6","SEPT6"
"14150","Sept7","SEPT7"
"14151","Sept8","SEPT8"
"14152","Sept9","SEPT9"
"14153","Serac1","SERAC1"
"14154","Serbp1","SERBP1"
"14155","Serf1","SERF1A"
"14156","Serf1","SERF1B"
"14157","Serf2","SERF2"
"14158","Sergef","SERGEF"
"14159","Serhl","SERHL2"
"14160","Serinc1","SERINC1"
"14161","Serinc2","SERINC2"
"14162","Serinc3","SERINC3"
"14163","Serinc4","SERINC4"
"14164","Serinc5","SERINC5"
"14165","Serp1","SERP1"
"14166","Serp2","SERP2"
"14167","Serpina1a","SERPINA1"
"14168","Serpina1b","SERPINA1"
"14169","Serpina1c","SERPINA1"
"14170","Serpina1d","SERPINA1"
"14171","Serpina1e","SERPINA1"
"14172","Serpina10","SERPINA10"
"14173","Serpina11","SERPINA11"
"14174","Serpina12","SERPINA12"
"14175","Serpina3a","SERPINA3"
"14176","Serpina3b","SERPINA3"
"14177","Serpina3c","SERPINA3"
"14178","Serpina3f","SERPINA3"
"14179","Serpina3g","SERPINA3"
"14180","Serpina3i","SERPINA3"
"14181","Serpina3j","SERPINA3"
"14182","Serpina3k","SERPINA3"
"14183","Serpina3m","SERPINA3"
"14184","Serpina3n","SERPINA3"
"14185","Serpina5","SERPINA5"
"14186","Serpina6","SERPINA6"
"14187","Serpina7","SERPINA7"
"14188","Serpina9","SERPINA9"
"14189","Serpinb1a","SERPINB1"
"14190","Serpinb1b","SERPINB1"
"14191","Serpinb1c","SERPINB1"
"14192","Serpinb10","SERPINB10"
"14193","Serpinb11","SERPINB11"
"14194","Serpinb12","SERPINB12"
"14195","Serpinb13","SERPINB13"
"14196","Serpinb2","SERPINB2"
"14197","Serpinb3a","SERPINB3"
"14198","Serpinb3b","SERPINB3"
"14199","Serpinb3c","SERPINB3"
"14200","Serpinb3d","SERPINB3"
"14201","Serpinb3a","SERPINB4"
"14202","Serpinb3b","SERPINB4"
"14203","Serpinb3c","SERPINB4"
"14204","Serpinb3d","SERPINB4"
"14205","Serpinb5","SERPINB5"
"14206","Serpinb6a","SERPINB6"
"14207","Serpinb6b","SERPINB6"
"14208","Serpinb6c","SERPINB6"
"14209","Serpinb6d","SERPINB6"
"14210","Serpinb6e","SERPINB6"
"14211","Serpinb7","SERPINB7"
"14212","Serpinb8","SERPINB8"
"14213","Gm11397","SERPINB9"
"14214","Serpinb9","SERPINB9"
"14215","Serpinb9b","SERPINB9"
"14216","Serpinb9c","SERPINB9"
"14217","Serpinb9d","SERPINB9"
"14218","Serpinb9e","SERPINB9"
"14219","Serpinb9f","SERPINB9"
"14220","Serpinb9g","SERPINB9"
"14221","Serpinc1","SERPINC1"
"14222","Serpind1","SERPIND1"
"14223","Serpine1","SERPINE1"
"14224","Serpine2","SERPINE2"
"14225","Serpine3","SERPINE3"
"14226","Serpinf1","SERPINF1"
"14227","Serpinf2","SERPINF2"
"14228","Serping1","SERPING1"
"14229","Serpinh1","SERPINH1"
"14230","Serpini1","SERPINI1"
"14231","Serpini2","SERPINI2"
"14232","Sertad1","SERTAD1"
"14233","Sertad2","SERTAD2"
"14234","Sertad3","SERTAD3"
"14235","Sertad4","SERTAD4"
"14236","Sertm1","SERTM1"
"14237","Sesn1","SESN1"
"14238","Sesn2","SESN2"
"14239","Sesn3","SESN3"
"14240","Sestd1","SESTD1"
"14241","Set","SET"
"14242","Setbp1","SETBP1"
"14243","Setd1a","SETD1A"
"14244","Setd1b","SETD1B"
"14245","Setd2","SETD2"
"14246","Setd3","SETD3"
"14247","Setd4","SETD4"
"14248","Setd5","SETD5"
"14249","Setd6","SETD6"
"14250","Setd7","SETD7"
"14251","Setdb1","SETDB1"
"14252","Setdb2","SETDB2"
"14253","Setmar","SETMAR"
"14254","Setx","SETX"
"14255","Sez6","SEZ6"
"14256","Sez6l","SEZ6L"
"14257","Sez6l2","SEZ6L2"
"14258","Sf1","SF1"
"14259","Sf3a1","SF3A1"
"14260","Sf3a2","SF3A2"
"14261","Sf3a3","SF3A3"
"14262","Sf3b1","SF3B1"
"14263","Sf3b2","SF3B2"
"14264","Sf3b3","SF3B3"
"14265","Sf3b4","SF3B4"
"14266","Sf3b5","SF3B5"
"14267","Sf3b6","SF3B6"
"14268","Sfi1","SFI1"
"14269","Sfmbt1","SFMBT1"
"14270","Sfmbt2","SFMBT2"
"14271","Sfn","SFN"
"14272","Sfpq","SFPQ"
"14273","Sfr1","SFR1"
"14274","Sfrp1","SFRP1"
"14275","Sfrp2","SFRP2"
"14276","Sfrp4","SFRP4"
"14277","Sfrp5","SFRP5"
"14278","Sfswap","SFSWAP"
"14279","Sft2d1","SFT2D1"
"14280","Sft2d2","SFT2D2"
"14281","Sft2d3","SFT2D3"
"14282","Sfta2","SFTA2"
"14283","Sftpa1","SFTPA1"
"14284","Sftpa1","SFTPA2"
"14285","Sftpb","SFTPB"
"14286","Sftpc","SFTPC"
"14287","Sftpd","SFTPD"
"14288","Sfxn1","SFXN1"
"14289","Sfxn2","SFXN2"
"14290","Sfxn3","SFXN3"
"14291","Sfxn4","SFXN4"
"14292","Sfxn5","SFXN5"
"14293","Sgca","SGCA"
"14294","Sgcb","SGCB"
"14295","Sgcd","SGCD"
"14296","Sgce","SGCE"
"14297","Sgcg","SGCG"
"14298","Sgcz","SGCZ"
"14299","Sgf29","SGF29"
"14300","Sgip1","SGIP1"
"14301","Sgk1","SGK1"
"14302","Sgk2","SGK2"
"14303","Sgk3","SGK3"
"14304","BC030499","SGK494"
"14305","Sgms1","SGMS1"
"14306","2700046G09Rik","SGMS1-AS1"
"14307","Sgms2","SGMS2"
"14308","Sgo1","SGO1"
"14309","Sgo2a","SGO2"
"14310","Sgpl1","SGPL1"
"14311","Sgpp1","SGPP1"
"14312","Sgpp2","SGPP2"
"14313","Sgsh","SGSH"
"14314","Sgsm1","SGSM1"
"14315","Sgsm2","SGSM2"
"14316","Sgsm3","SGSM3"
"14317","Sgta","SGTA"
"14318","Sgtb","SGTB"
"14319","Sh2b1","SH2B1"
"14320","Sh2b2","SH2B2"
"14321","Sh2b3","SH2B3"
"14322","Sh2d1a","SH2D1A"
"14323","Sh2d1b1","SH2D1B"
"14324","Sh2d1b2","SH2D1B"
"14325","Sh2d2a","SH2D2A"
"14326","Sh2d3c","SH2D3C"
"14327","Sh2d4a","SH2D4A"
"14328","Sh2d4b","SH2D4B"
"14329","Sh2d5","SH2D5"
"14330","Sh2d6","SH2D6"
"14331","Sh2d7","SH2D7"
"14332","Sh3bgr","SH3BGR"
"14333","Sh3bgrl","SH3BGRL"
"14334","Sh3bgrl2","SH3BGRL2"
"14335","Sh3bgrl3","SH3BGRL3"
"14336","Sh3bp1","SH3BP1"
"14337","Sh3bp2","SH3BP2"
"14338","Sh3bp4","SH3BP4"
"14339","Sh3bp5","SH3BP5"
"14340","Sh3bp5l","SH3BP5L"
"14341","Sh3d19","SH3D19"
"14342","Sh3d21","SH3D21"
"14343","Sh3gl1","SH3GL1"
"14344","Sh3gl2","SH3GL2"
"14345","Sh3gl3","SH3GL3"
"14346","Sh3glb1","SH3GLB1"
"14347","Sh3glb2","SH3GLB2"
"14348","Sh3kbp1","SH3KBP1"
"14349","Sh3pxd2a","SH3PXD2A"
"14350","Sh3pxd2b","SH3PXD2B"
"14351","Sh3rf1","SH3RF1"
"14352","Sh3rf2","SH3RF2"
"14353","Sh3rf3","SH3RF3"
"14354","Sh3tc1","SH3TC1"
"14355","Sh3tc2","SH3TC2"
"14356","Sh3yl1","SH3YL1"
"14357","Shank1","SHANK1"
"14358","Shank2","SHANK2"
"14359","Shank3","SHANK3"
"14360","Sharpin","SHARPIN"
"14361","Shb","SHB"
"14362","Shbg","SHBG"
"14363","Shc1","SHC1"
"14364","Shc2","SHC2"
"14365","Shc3","SHC3"
"14366","Shc4","SHC4"
"14367","Shcbp1","SHCBP1"
"14368","Shcbp1l","SHCBP1L"
"14369","Shd","SHD"
"14370","She","SHE"
"14371","Shf","SHF"
"14372","Shh","SHH"
"14373","Shisa2","SHISA2"
"14374","Shisa3","SHISA3"
"14375","Shisa4","SHISA4"
"14376","Shisa5","SHISA5"
"14377","Shisa6","SHISA6"
"14378","Shisa7","SHISA7"
"14379","Shisa8","SHISA8"
"14380","Shisa9","SHISA9"
"14381","Shisal1","SHISAL1"
"14382","Shisal2a","SHISAL2A"
"14383","Shisal2b","SHISAL2B"
"14384","Shkbp1","SHKBP1"
"14385","Shld1","SHLD1"
"14386","Shld2","SHLD2"
"14387","Shmt1","SHMT1"
"14388","Shmt2","SHMT2"
"14389","Shoc2","SHOC2"
"14390","Shox2","SHOX2"
"14391","Shpk","SHPK"
"14392","Shprh","SHPRH"
"14393","Shq1","SHQ1"
"14394","Shroom1","SHROOM1"
"14395","Shroom2","SHROOM2"
"14396","Shroom3","SHROOM3"
"14397","Shroom4","SHROOM4"
"14398","Shtn1","SHTN1"
"14399","Sis","SI"
"14400","Siae","SIAE"
"14401","Siah1a","SIAH1"
"14402","Siah2","SIAH2"
"14403","Siah3","SIAH3"
"14404","Sidt1","SIDT1"
